Date,Open,High,Low,Close,Volume
2000-09-01,4365.27,4420,4328.83,4347.11,145611
2000-09-04,4347.11,4347.11,4255.94,4283.3,351681
2000-09-05,4319.75,4410.9,4310.67,4383.45,259617
2000-09-06,4429.07,4620.48,4429.07,4529.3,713675
2000-09-07,4757.24,4811.95,4657.01,4675.18,1085217
2000-09-08,4748.05,4757.24,4693.34,4738.99,625014
2000-09-11,4738.99,4830.11,4702.55,4711.63,395682
2000-09-12,4784.51,4793.59,4711.63,4729.88,192904
2000-09-13,4757.24,4766.34,4720.81,4748.05,177104
2000-09-14,4830.11,4884.83,4793.59,4811.95,488402
2000-09-18,4821.06,4857.48,4802.86,4839.21,345097
2000-09-19,4830.11,4848.31,4784.51,4839.21,186538
2000-09-20,4848.31,4866.57,4830.11,4857.48,174908
2000-09-21,4857.48,4857.48,4821.06,4830.11,200803
2000-09-22,4839.21,4857.48,4821.06,4839.21,369346
2000-09-25,4830.11,4848.31,4811.95,4811.95,275420
2000-09-26,4830.11,4857.48,4821.06,4821.06,350145
2000-09-27,4866.57,4866.57,4830.11,4839.21,489390
2000-09-28,4839.21,4921.28,4830.11,4875.66,309546
2000-09-29,4966.91,5121.76,4921.28,4994.15,414116
2000-10-02,4903.01,4994.15,4830.11,4994.15,220225
2000-10-03,5012.44,5057.96,4875.66,4939.45,290782
2000-10-04,4875.66,4939.45,4857.48,4893.92,201022
2000-10-05,4893.92,5067.15,4875.66,5067.15,236026
2000-10-06,5057.96,5413.29,5039.69,5413.29,549632
2000-10-10,5376.94,5422.38,5222.01,5222.01,613493
2000-10-11,5130.95,5212.83,5130.95,5185.47,326661
2000-10-12,5094.4,5139.93,5012.44,5039.69,328419
2000-10-13,4839.21,4893.92,4793.59,4848.31,446376
2000-10-16,4939.45,4985.09,4912.19,4985.09,290452
2000-10-17,4903.01,4966.91,4848.31,4848.31,151755
2000-10-18,4830.11,4930.37,4547.59,4620.48,219237
2000-10-19,4657.01,4811.95,4657.01,4675.18,218470
2000-10-20,4766.34,4830.11,4711.63,4784.51,311848
2000-10-23,4775.41,4948.54,4647.92,4884.83,247438
2000-10-24,4793.59,4866.57,4684.28,4757.24,266422
2000-10-25,4666.09,4738.99,4511.15,4574.95,357495
2000-10-26,4556.77,4757.24,4529.3,4702.55,359910
2000-10-27,4793.59,4793.59,4574.95,4693.34,289794
2000-10-30,4693.34,4738.99,4647.92,4693.34,191148
2000-10-31,4602.3,4784.51,4529.3,4666.09,298792
2000-11-01,4757.24,4766.34,4565.85,4657.01,223077
2000-11-02,4593.11,4638.73,4538.41,4593.11,277175
2000-11-06,4565.85,4738.99,4565.85,4720.81,264227
2000-11-07,4738.99,4738.99,4620.48,4693.34,152194
2000-11-08,4693.34,4821.06,4693.34,4720.81,425089
2000-11-09,4693.34,4729.88,4565.85,4574.95,234711
2000-11-10,4483.79,4693.34,4483.79,4675.18,256325
2000-11-13,4629.55,4629.55,4483.79,4565.85,203327
2000-11-14,4611.38,4611.38,4538.41,4538.41,164374
2000-11-15,4602.3,4738.99,4593.11,4729.88,246340
2000-11-16,4657.01,4693.34,4574.95,4629.55,123992
2000-11-17,4538.41,4738.99,4538.41,4602.3,279369
2000-11-20,4638.73,4738.99,4602.3,4738.99,177212
2000-11-21,4802.86,4830.11,4602.3,4647.92,247110
2000-11-22,4647.92,4693.34,4602.3,4620.48,147475
2000-11-24,4574.95,4593.11,4502.06,4574.95,241184
2000-11-27,4483.79,4492.95,4420,4465.52,339830
2000-11-28,4456.43,4602.3,4283.3,4547.59,557641
2000-11-29,4556.77,4556.77,4383.45,4465.52,237343
2000-11-30,4374.37,4401.81,4255.94,4328.83,334232
2000-12-01,4237.77,4292.39,4164.8,4246.87,613164
2000-12-04,4338.02,4392.73,4319.75,4356.19,220005
2000-12-05,4374.37,4374.37,4137.44,4228.59,540524
2000-12-06,4192.16,4228.59,4028.11,4064.56,578379
2000-12-07,4018.94,4210.33,4018.94,4018.94,390086
2000-12-08,4055.38,4146.64,4037.21,4037.21,534270
2000-12-11,4082.82,4237.77,4082.82,4183.08,271688
2000-12-12,4274.13,4338.02,4228.59,4283.3,509471
2000-12-13,4319.75,4420,4255.94,4392.73,391621
2000-12-14,4347.11,4438.25,4328.83,4328.83,356617
2000-12-15,4374.37,4392.73,4283.3,4292.39,150987
2000-12-18,4365.27,4365.27,4246.87,4265.04,176553
2000-12-19,4292.39,4301.49,4128.36,4173.88,201790
2000-12-20,4128.36,4283.3,4128.36,4137.44,173372
2000-12-21,4137.44,4210.33,4055.38,4110.1,237234
2000-12-22,4128.36,4128.36,3982.59,4073.66,332696
2000-12-25,4255.94,4310.67,4192.16,4255.94,227688
2000-12-26,4255.94,4255.94,4155.72,4246.87,134199
2000-12-27,4246.87,4356.19,4201.24,4310.67,176553
2000-12-28,4265.04,4401.81,4137.44,4146.64,188184
2000-12-29,4237.77,4310.67,4219.43,4301.49,70006
2001-01-04,4347.11,4347.11,4201.24,4201.24,97000
2001-01-05,4292.39,4365.27,4237.77,4301.49,162508
2001-01-09,4192.16,4201.24,4146.64,4192.16,148135
2001-01-10,4173.88,4173.88,4101,4119.17,155156
2001-01-11,4119.17,4192.16,3782.02,3836.73,193451
2001-01-12,3918.78,4000.76,3863.98,3991.69,468322
2001-01-15,4037.21,4037.21,3873.17,3900.52,178310
2001-01-16,3900.52,3927.88,3882.27,3909.63,285952
2001-01-17,3873.17,3891.34,3791.11,3791.11,346743
2001-01-18,3745.58,3782.02,3709.05,3754.65,470405
2001-01-19,3791.11,3827.64,3754.65,3772.92,628964
2001-01-22,3754.65,3754.65,3699.95,3727.31,167556
2001-01-23,3772.92,3818.55,3745.58,3800.19,452411
2001-01-24,3818.55,3882.27,3800.19,3873.17,400620
2001-01-25,3863.98,3873.17,3754.65,3791.11,231199
2001-01-26,3754.65,3845.82,3718.22,3809.27,322275
2001-01-29,3809.27,3918.78,3809.27,3918.78,405338
2001-01-30,3936.97,4082.82,3936.97,4064.56,559946
2001-01-31,4101,4265.04,4009.85,4055.38,679439
2001-02-01,4009.85,4046.3,3918.78,4018.94,193891
2001-02-02,4018.94,4137.44,4018.94,4137.44,238659
2001-02-05,4101,4101,4009.85,4046.3,111046
2001-02-06,4037.21,4046.3,3873.17,3909.63,258081
2001-02-07,3909.63,4046.3,3909.63,4018.94,255119
2001-02-08,4064.56,4173.88,4037.21,4110.1,286941
2001-02-09,4292.39,4429.07,4246.87,4392.73,951348
2001-02-13,4392.73,4465.52,4338.02,4392.73,303620
2001-02-14,4438.25,4438.25,4356.19,4420,467005
2001-02-15,4447.35,4492.95,4392.73,4492.95,336867
2001-02-16,4538.41,4538.41,4483.79,4492.95,355522
2001-02-19,4456.43,4456.43,4383.45,4410.9,199377
2001-02-20,4365.27,4410.9,4310.67,4392.73,280028
2001-02-21,4347.11,4383.45,4310.67,4347.11,161958
2001-02-22,4347.11,4502.06,4265.04,4429.07,201901
2001-02-23,4429.07,4502.06,4410.9,4492.95,283649
